,household_id,income_bracket,age,family_size,sex,prev_interactions,price,purchase,race,state
684,19,60k–70k,29,3,F,0,50,0,White,AL
689,19,60k–70k,29,3,F,0,45,0,White,AL
694,19,60k–70k,29,3,F,0,40,1,White,AL
699,19,60k–70k,29,3,F,0,35,1,White,AL
704,19,60k–70k,29,3,F,0,30,1,White,AL
709,19,60k–70k,29,3,F,0,25,1,White,AL
714,19,60k–70k,29,3,F,0,20,1,White,AL
719,19,60k–70k,29,3,F,0,15,1,White,AL
720,20,60k–70k,38,1,F,0,50,1,White,AL
725,20,60k–70k,38,1,F,0,45,1,White,AL
730,20,60k–70k,38,1,F,0,40,1,White,AL
735,20,60k–70k,38,1,F,0,35,1,White,AL
740,20,60k–70k,38,1,F,0,30,1,White,AL
745,20,60k–70k,38,1,F,0,25,1,White,AL
750,20,60k–70k,38,1,F,0,20,1,White,AL
755,20,60k–70k,38,1,F,0,15,1,White,AL
756,21,60k–70k,43,3,F,0,50,0,Black,AL
761,21,60k–70k,43,3,F,0,45,0,Black,AL
766,21,60k–70k,43,3,F,0,40,0,Black,AL
771,21,60k–70k,43,3,F,0,35,0,Black,AL
776,21,60k–70k,43,3,F,0,30,0,Black,AL
781,21,60k–70k,43,3,F,0,25,0,Black,AL
786,21,60k–70k,43,3,F,0,20,1,Black,AL
791,21,60k–70k,43,3,F,0,15,1,Black,AL
792,22,60k–70k,42,6,M,0,50,0,White,AL
797,22,60k–70k,42,6,M,0,45,0,White,AL
802,22,60k–70k,42,6,M,0,40,0,White,AL
807,22,60k–70k,42,6,M,0,35,0,White,AL
812,22,60k–70k,42,6,M,0,30,0,White,AL
817,22,60k–70k,42,6,M,0,25,0,White,AL
822,22,60k–70k,42,6,M,0,20,0,White,AL
827,22,60k–70k,42,6,M,0,15,0,White,AL
828,23,60k–70k,49,2,M,0,50,0,White,AL
833,23,60k–70k,49,2,M,0,45,0,White,AL
838,23,60k–70k,49,2,M,0,40,0,White,AL
843,23,60k–70k,49,2,M,0,35,0,White,AL
848,23,60k–70k,49,2,M,0,30,1,White,AL
853,23,60k–70k,49,2,M,0,25,1,White,AL
858,23,60k–70k,49,2,M,0,20,1,White,AL
863,23,60k–70k,49,2,M,0,15,1,White,AL
864,24,60k–70k,39,5,F,0,50,0,Black,AL
869,24,60k–70k,39,5,F,0,45,0,Black,AL
874,24,60k–70k,39,5,F,0,40,0,Black,AL
879,24,60k–70k,39,5,F,0,35,0,Black,AL
884,24,60k–70k,39,5,F,0,30,0,Black,AL
889,24,60k–70k,39,5,F,0,25,0,Black,AL
894,24,60k–70k,39,5,F,0,20,0,Black,AL
899,24,60k–70k,39,5,F,0,15,1,Black,AL
900,25,60k–70k,56,2,M,0,50,0,White,AL
905,25,60k–70k,56,2,M,0,45,0,White,AL
910,25,60k–70k,56,2,M,0,40,0,White,AL
915,25,60k–70k,56,2,M,0,35,0,White,AL
920,25,60k–70k,56,2,M,0,30,0,White,AL
925,25,60k–70k,56,2,M,0,25,0,White,AL
930,25,60k–70k,56,2,M,0,20,1,White,AL
935,25,60k–70k,56,2,M,0,15,1,White,AL
936,26,60k–70k,36,1,M,0,50,1,Black,AL
941,26,60k–70k,36,1,M,0,45,1,Black,AL
946,26,60k–70k,36,1,M,0,40,1,Black,AL
951,26,60k–70k,36,1,M,0,35,1,Black,AL
956,26,60k–70k,36,1,M,0,30,1,Black,AL
961,26,60k–70k,36,1,M,0,25,1,Black,AL
966,26,60k–70k,36,1,M,0,20,1,Black,AL
971,26,60k–70k,36,1,M,0,15,1,Black,AL
972,27,60k–70k,71,7,M,0,50,0,Other,AL
977,27,60k–70k,71,7,M,0,45,0,Other,AL
982,27,60k–70k,71,7,M,0,40,0,Other,AL
987,27,60k–70k,71,7,M,0,35,0,Other,AL
992,27,60k–70k,71,7,M,0,30,0,Other,AL
997,27,60k–70k,71,7,M,0,25,0,Other,AL
1002,27,60k–70k,71,7,M,0,20,0,Other,AL
1007,27,60k–70k,71,7,M,0,15,0,Other,AL
1008,28,60k–70k,46,8,F,0,50,0,White,AL
1013,28,60k–70k,46,8,F,0,45,0,White,AL
1018,28,60k–70k,46,8,F,0,40,0,White,AL
1023,28,60k–70k,46,8,F,0,35,0,White,AL
1028,28,60k–70k,46,8,F,0,30,0,White,AL
1033,28,60k–70k,46,8,F,0,25,0,White,AL
1038,28,60k–70k,46,8,F,0,20,0,White,AL
1043,28,60k–70k,46,8,F,0,15,0,White,AL
1044,29,60k–70k,29,1,F,4,50,1,Black,AL
1049,29,60k–70k,29,1,F,4,45,1,Black,AL
1054,29,60k–70k,29,1,F,4,40,1,Black,AL
1059,29,60k–70k,29,1,F,4,35,1,Black,AL
1064,29,60k–70k,29,1,F,4,30,1,Black,AL
1069,29,60k–70k,29,1,F,4,25,1,Black,AL
1074,29,60k–70k,29,1,F,4,20,1,Black,AL
1079,29,60k–70k,29,1,F,4,15,1,Black,AL
1080,30,60k–70k,26,3,M,0,50,0,White,AL
1085,30,60k–70k,26,3,M,0,45,0,White,AL
1090,30,60k–70k,26,3,M,0,40,0,White,AL
1095,30,60k–70k,26,3,M,0,35,0,White,AL
1100,30,60k–70k,26,3,M,0,30,1,White,AL
1105,30,60k–70k,26,3,M,0,25,1,White,AL
1110,30,60k–70k,26,3,M,0,20,1,White,AL
1115,30,60k–70k,26,3,M,0,15,1,White,AL
1116,31,60k–70k,45,6,F,0,50,0,White,AL
1121,31,60k–70k,45,6,F,0,45,0,White,AL
1126,31,60k–70k,45,6,F,0,40,0,White,AL
1131,31,60k–70k,45,6,F,0,35,0,White,AL
1136,31,60k–70k,45,6,F,0,30,0,White,AL
1141,31,60k–70k,45,6,F,0,25,0,White,AL
1146,31,60k–70k,45,6,F,0,20,0,White,AL
1151,31,60k–70k,45,6,F,0,15,0,White,AL
1152,32,60k–70k,36,1,F,0,50,1,White,AL
1157,32,60k–70k,36,1,F,0,45,1,White,AL
1162,32,60k–70k,36,1,F,0,40,1,White,AL
1167,32,60k–70k,36,1,F,0,35,1,White,AL
1172,32,60k–70k,36,1,F,0,30,1,White,AL
1177,32,60k–70k,36,1,F,0,25,1,White,AL
1182,32,60k–70k,36,1,F,0,20,1,White,AL
1187,32,60k–70k,36,1,F,0,15,1,White,AL
1188,33,60k–70k,47,9,M,0,50,0,Native,AL
1193,33,60k–70k,47,9,M,0,45,0,Native,AL
1198,33,60k–70k,47,9,M,0,40,0,Native,AL
1203,33,60k–70k,47,9,M,0,35,0,Native,AL
1208,33,60k–70k,47,9,M,0,30,0,Native,AL
1213,33,60k–70k,47,9,M,0,25,0,Native,AL
1218,33,60k–70k,47,9,M,0,20,0,Native,AL
1223,33,60k–70k,47,9,M,0,15,0,Native,AL
1224,34,60k–70k,44,3,M,0,50,0,Hispanic,AL
1229,34,60k–70k,44,3,M,0,45,0,Hispanic,AL
1234,34,60k–70k,44,3,M,0,40,0,Hispanic,AL
1239,34,60k–70k,44,3,M,0,35,0,Hispanic,AL
1244,34,60k–70k,44,3,M,0,30,0,Hispanic,AL
1249,34,60k–70k,44,3,M,0,25,1,Hispanic,AL
1254,34,60k–70k,44,3,M,0,20,1,Hispanic,AL
1259,34,60k–70k,44,3,M,0,15,1,Hispanic,AL
1260,35,60k–70k,38,3,F,0,50,0,White,AL
1265,35,60k–70k,38,3,F,0,45,0,White,AL
1270,35,60k–70k,38,3,F,0,40,0,White,AL
1275,35,60k–70k,38,3,F,0,35,0,White,AL
1280,35,60k–70k,38,3,F,0,30,1,White,AL
1285,35,60k–70k,38,3,F,0,25,1,White,AL
1290,35,60k–70k,38,3,F,0,20,1,White,AL
1295,35,60k–70k,38,3,F,0,15,1,White,AL
1296,36,60k–70k,29,6,M,5,50,0,White,AL
1301,36,60k–70k,29,6,M,5,45,0,White,AL
1306,36,60k–70k,29,6,M,5,40,0,White,AL
1311,36,60k–70k,29,6,M,5,35,0,White,AL
1316,36,60k–70k,29,6,M,5,30,0,White,AL
1321,36,60k–70k,29,6,M,5,25,0,White,AL
1326,36,60k–70k,29,6,M,5,20,0,White,AL
1331,36,60k–70k,29,6,M,5,15,0,White,AL
1332,37,60k–70k,21,2,M,0,50,1,White,AL
1337,37,60k–70k,21,2,M,0,45,1,White,AL
1342,37,60k–70k,21,2,M,0,40,1,White,AL
1347,37,60k–70k,21,2,M,0,35,1,White,AL
1352,37,60k–70k,21,2,M,0,30,1,White,AL
1357,37,60k–70k,21,2,M,0,25,1,White,AL
1362,37,60k–70k,21,2,M,0,20,1,White,AL
1367,37,60k–70k,21,2,M,0,15,1,White,AL
1368,38,60k–70k,33,1,M,0,50,1,Black,AL
1373,38,60k–70k,33,1,M,0,45,1,Black,AL
1378,38,60k–70k,33,1,M,0,40,1,Black,AL
1383,38,60k–70k,33,1,M,0,35,1,Black,AL
1388,38,60k–70k,33,1,M,0,30,1,Black,AL
1393,38,60k–70k,33,1,M,0,25,1,Black,AL
1398,38,60k–70k,33,1,M,0,20,1,Black,AL
1403,38,60k–70k,33,1,M,0,15,1,Black,AL
1404,39,60k–70k,49,4,F,0,50,0,White,AL
1409,39,60k–70k,49,4,F,0,45,0,White,AL
1414,39,60k–70k,49,4,F,0,40,0,White,AL
1419,39,60k–70k,49,4,F,0,35,0,White,AL
1424,39,60k–70k,49,4,F,0,30,0,White,AL
1429,39,60k–70k,49,4,F,0,25,0,White,AL
1434,39,60k–70k,49,4,F,0,20,0,White,AL
1439,39,60k–70k,49,4,F,0,15,0,White,AL
1440,40,60k–70k,41,1,F,0,50,1,White,AL
1445,40,60k–70k,41,1,F,0,45,1,White,AL
1450,40,60k–70k,41,1,F,0,40,1,White,AL
1455,40,60k–70k,41,1,F,0,35,1,White,AL
1460,40,60k–70k,41,1,F,0,30,1,White,AL
1465,40,60k–70k,41,1,F,0,25,1,White,AL
1470,40,60k–70k,41,1,F,0,20,1,White,AL
1475,40,60k–70k,41,1,F,0,15,1,White,AL
1476,41,60k–70k,24,3,F,0,50,0,White,AL
1481,41,60k–70k,24,3,F,0,45,0,White,AL
1486,41,60k–70k,24,3,F,0,40,0,White,AL
1491,41,60k–70k,24,3,F,0,35,0,White,AL
1496,41,60k–70k,24,3,F,0,30,1,White,AL
1501,41,60k–70k,24,3,F,0,25,1,White,AL
1506,41,60k–70k,24,3,F,0,20,1,White,AL
1511,41,60k–70k,24,3,F,0,15,1,White,AL
1512,42,60k–70k,41,5,M,0,50,0,Black,AL
1517,42,60k–70k,41,5,M,0,45,0,Black,AL
1522,42,60k–70k,41,5,M,0,40,0,Black,AL
1527,42,60k–70k,41,5,M,0,35,0,Black,AL
1532,42,60k–70k,41,5,M,0,30,0,Black,AL
1537,42,60k–70k,41,5,M,0,25,0,Black,AL
1542,42,60k–70k,41,5,M,0,20,0,Black,AL
1547,42,60k–70k,41,5,M,0,15,0,Black,AL
1548,43,60k–70k,43,5,F,0,50,0,White,AL
1553,43,60k–70k,43,5,F,0,45,0,White,AL
1558,43,60k–70k,43,5,F,0,40,0,White,AL
1563,43,60k–70k,43,5,F,0,35,0,White,AL
1568,43,60k–70k,43,5,F,0,30,0,White,AL
1573,43,60k–70k,43,5,F,0,25,0,White,AL
1578,43,60k–70k,43,5,F,0,20,0,White,AL
1583,43,60k–70k,43,5,F,0,15,0,White,AL
1584,44,60k–70k,28,4,F,0,50,0,White,AL
1589,44,60k–70k,28,4,F,0,45,0,White,AL
1594,44,60k–70k,28,4,F,0,40,0,White,AL
1599,44,60k–70k,28,4,F,0,35,0,White,AL
1604,44,60k–70k,28,4,F,0,30,0,White,AL
1609,44,60k–70k,28,4,F,0,25,0,White,AL
1614,44,60k–70k,28,4,F,0,20,1,White,AL
1619,44,60k–70k,28,4,F,0,15,1,White,AL
1620,45,60k–70k,41,1,M,0,50,1,White,AL
1625,45,60k–70k,41,1,M,0,45,1,White,AL
1630,45,60k–70k,41,1,M,0,40,1,White,AL
1635,45,60k–70k,41,1,M,0,35,1,White,AL
1640,45,60k–70k,41,1,M,0,30,1,White,AL
1645,45,60k–70k,41,1,M,0,25,1,White,AL
1650,45,60k–70k,41,1,M,0,20,1,White,AL
1655,45,60k–70k,41,1,M,0,15,1,White,AL
1656,46,60k–70k,39,1,F,1,50,1,Other,AL
1661,46,60k–70k,39,1,F,1,45,1,Other,AL
1666,46,60k–70k,39,1,F,1,40,1,Other,AL
1671,46,60k–70k,39,1,F,1,35,1,Other,AL
1676,46,60k–70k,39,1,F,1,30,1,Other,AL
1681,46,60k–70k,39,1,F,1,25,1,Other,AL
1686,46,60k–70k,39,1,F,1,20,1,Other,AL
1691,46,60k–70k,39,1,F,1,15,1,Other,AL
1692,47,60k–70k,25,1,M,0,50,1,White,AL
1697,47,60k–70k,25,1,M,0,45,1,White,AL
1702,47,60k–70k,25,1,M,0,40,1,White,AL
1707,47,60k–70k,25,1,M,0,35,1,White,AL
1712,47,60k–70k,25,1,M,0,30,1,White,AL
1717,47,60k–70k,25,1,M,0,25,1,White,AL
1722,47,60k–70k,25,1,M,0,20,1,White,AL
1727,47,60k–70k,25,1,M,0,15,1,White,AL
1728,48,60k–70k,43,2,M,8,50,0,White,AL
1733,48,60k–70k,43,2,M,8,45,0,White,AL
1738,48,60k–70k,43,2,M,8,40,0,White,AL
1743,48,60k–70k,43,2,M,8,35,0,White,AL
1748,48,60k–70k,43,2,M,8,30,1,White,AL
1753,48,60k–70k,43,2,M,8,25,1,White,AL
1758,48,60k–70k,43,2,M,8,20,1,White,AL
1763,48,60k–70k,43,2,M,8,15,1,White,AL
1764,49,60k–70k,46,4,M,0,50,0,Black,AL
1769,49,60k–70k,46,4,M,0,45,0,Black,AL
1774,49,60k–70k,46,4,M,0,40,0,Black,AL
1779,49,60k–70k,46,4,M,0,35,0,Black,AL
1784,49,60k–70k,46,4,M,0,30,0,Black,AL
1789,49,60k–70k,46,4,M,0,25,0,Black,AL
1794,49,60k–70k,46,4,M,0,20,0,Black,AL
1799,49,60k–70k,46,4,M,0,15,1,Black,AL
1800,50,60k–70k,52,1,M,1,50,0,White,AL
1805,50,60k–70k,52,1,M,1,45,0,White,AL
1810,50,60k–70k,52,1,M,1,40,0,White,AL
1815,50,60k–70k,52,1,M,1,35,0,White,AL
1820,50,60k–70k,52,1,M,1,30,0,White,AL
1825,50,60k–70k,52,1,M,1,25,1,White,AL
1830,50,60k–70k,52,1,M,1,20,1,White,AL
1835,50,60k–70k,52,1,M,1,15,1,White,AL
1836,51,60k–70k,51,1,M,0,50,1,White,AL
1841,51,60k–70k,51,1,M,0,45,1,White,AL
1846,51,60k–70k,51,1,M,0,40,1,White,AL
1851,51,60k–70k,51,1,M,0,35,1,White,AL
1856,51,60k–70k,51,1,M,0,30,1,White,AL
1861,51,60k–70k,51,1,M,0,25,1,White,AL
1866,51,60k–70k,51,1,M,0,20,1,White,AL
1871,51,60k–70k,51,1,M,0,15,1,White,AL
1872,52,60k–70k,22,1,M,1,50,1,Black,AL
1877,52,60k–70k,22,1,M,1,45,1,Black,AL
1882,52,60k–70k,22,1,M,1,40,1,Black,AL
1887,52,60k–70k,22,1,M,1,35,1,Black,AL
1892,52,60k–70k,22,1,M,1,30,1,Black,AL
1897,52,60k–70k,22,1,M,1,25,1,Black,AL
1902,52,60k–70k,22,1,M,1,20,1,Black,AL
1907,52,60k–70k,22,1,M,1,15,1,Black,AL
1908,53,60k–70k,28,2,M,3,50,1,Hispanic,AL
1913,53,60k–70k,28,2,M,3,45,1,Hispanic,AL
1918,53,60k–70k,28,2,M,3,40,1,Hispanic,AL
1923,53,60k–70k,28,2,M,3,35,1,Hispanic,AL
1928,53,60k–70k,28,2,M,3,30,1,Hispanic,AL
1933,53,60k–70k,28,2,M,3,25,1,Hispanic,AL
1938,53,60k–70k,28,2,M,3,20,1,Hispanic,AL
1943,53,60k–70k,28,2,M,3,15,1,Hispanic,AL
1944,54,60k–70k,45,3,F,0,50,0,White,AL
1949,54,60k–70k,45,3,F,0,45,0,White,AL
1954,54,60k–70k,45,3,F,0,40,0,White,AL
1959,54,60k–70k,45,3,F,0,35,0,White,AL
1964,54,60k–70k,45,3,F,0,30,0,White,AL
1969,54,60k–70k,45,3,F,0,25,1,White,AL
1974,54,60k–70k,45,3,F,0,20,1,White,AL
1979,54,60k–70k,45,3,F,0,15,1,White,AL
1980,55,60k–70k,45,2,M,4,50,0,Black,AL
1985,55,60k–70k,45,2,M,4,45,0,Black,AL
1990,55,60k–70k,45,2,M,4,40,0,Black,AL
1995,55,60k–70k,45,2,M,4,35,1,Black,AL
2000,55,60k–70k,45,2,M,4,30,1,Black,AL
2005,55,60k–70k,45,2,M,4,25,1,Black,AL
2010,55,60k–70k,45,2,M,4,20,1,Black,AL
2015,55,60k–70k,45,2,M,4,15,1,Black,AL
2016,56,60k–70k,45,3,M,0,50,0,White,AL
2021,56,60k–70k,45,3,M,0,45,0,White,AL
2026,56,60k–70k,45,3,M,0,40,0,White,AL
2031,56,60k–70k,45,3,M,0,35,0,White,AL
2036,56,60k–70k,45,3,M,0,30,0,White,AL
2041,56,60k–70k,45,3,M,0,25,0,White,AL
2046,56,60k–70k,45,3,M,0,20,1,White,AL
2051,56,60k–70k,45,3,M,0,15,1,White,AL
2052,57,60k–70k,85,3,M,0,50,0,Other,AL
2057,57,60k–70k,85,3,M,0,45,0,Other,AL
2062,57,60k–70k,85,3,M,0,40,0,Other,AL
2067,57,60k–70k,85,3,M,0,35,0,Other,AL
2072,57,60k–70k,85,3,M,0,30,0,Other,AL
2077,57,60k–70k,85,3,M,0,25,0,Other,AL
2082,57,60k–70k,85,3,M,0,20,0,Other,AL
2087,57,60k–70k,85,3,M,0,15,1,Other,AL
2088,58,60k–70k,46,3,F,0,50,0,White,AL
2093,58,60k–70k,46,3,F,0,45,0,White,AL
2098,58,60k–70k,46,3,F,0,40,0,White,AL
2103,58,60k–70k,46,3,F,0,35,0,White,AL
2108,58,60k–70k,46,3,F,0,30,0,White,AL
2113,58,60k–70k,46,3,F,0,25,1,White,AL
2118,58,60k–70k,46,3,F,0,20,1,White,AL
2123,58,60k–70k,46,3,F,0,15,1,White,AL
2124,59,60k–70k,52,2,M,0,50,0,Black,AL
2129,59,60k–70k,52,2,M,0,45,0,Black,AL
2134,59,60k–70k,52,2,M,0,40,0,Black,AL
2139,59,60k–70k,52,2,M,0,35,0,Black,AL
2144,59,60k–70k,52,2,M,0,30,1,Black,AL
2149,59,60k–70k,52,2,M,0,25,1,Black,AL
2154,59,60k–70k,52,2,M,0,20,1,Black,AL
2159,59,60k–70k,52,2,M,0,15,1,Black,AL
2160,60,60k–70k,50,4,M,0,50,0,White,AL
2165,60,60k–70k,50,4,M,0,45,0,White,AL
2170,60,60k–70k,50,4,M,0,40,0,White,AL
2175,60,60k–70k,50,4,M,0,35,0,White,AL
2180,60,60k–70k,50,4,M,0,30,0,White,AL
2185,60,60k–70k,50,4,M,0,25,0,White,AL
2190,60,60k–70k,50,4,M,0,20,1,White,AL
2195,60,60k–70k,50,4,M,0,15,1,White,AL
2196,61,60k–70k,47,1,F,0,50,1,White,AL
2201,61,60k–70k,47,1,F,0,45,1,White,AL
2206,61,60k–70k,47,1,F,0,40,1,White,AL
2211,61,60k–70k,47,1,F,0,35,1,White,AL
2216,61,60k–70k,47,1,F,0,30,1,White,AL
2221,61,60k–70k,47,1,F,0,25,1,White,AL
2226,61,60k–70k,47,1,F,0,20,1,White,AL
2231,61,60k–70k,47,1,F,0,15,1,White,AL
2232,62,60k–70k,35,2,M,0,50,0,White,AL
2237,62,60k–70k,35,2,M,0,45,0,White,AL
